   40.964 INFO     Host "52.56.209.184" added to group "security_group_London_GW"
   40.970 INFO     Host "35.177.84.250" added to group "security_group_London_GW_A"
   40.977 INFO     Host "35.176.36.6" added to group "security_group_London_GW_hagw"
   40.983 INFO     Host "35.154.142.70" added to group "security_group_Mumbai_GW"
   40.990 INFO     Host "13.126.214.29" added to group "security_group_Mumbai_GW_A"
   40.996 INFO     Host "34.224.245.31" added to group "security_group_N_Virgina_GW_A"
   41.003 INFO     Host "34.193.109.28" added to group "security_group_nvirginia_1"
   41.009 INFO     Host "54.89.83.56" added to group "security_group_nvirginia_1_hagw"
   41.016 INFO     Host "34.229.210.21" added to group "security_group_webserver"
   41.022 INFO     Host "34.225.52.141" added to group "tag_aws_cloudformation_logical_id_AviatrixController"
   41.028 INFO     Host "34.225.52.141" added to group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba"
   41.035 INFO     Host "34.225.52.141" added to group "tag_aws_cloudformation_stack_name_Controller_A"
   41.042 INFO     Host "54.91.231.196" added to group "tag__GX_BACKUP_"
   41.048 INFO     Host "52.56.209.184" added to group "tag_London_GW_172_31_5_171_gateway"
   41.054 INFO     Host "35.177.84.250" added to group "tag_London_GW_A_172_31_31_153_gateway"
   41.061 INFO     Host "35.176.36.6" added to group "tag_London_GW_hagw_172_31_5_171_gateway"
   41.067 INFO     Host "35.154.142.70" added to group "tag_Mumbai_GW_172_31_5_171_gateway"
   41.073 INFO     Host "13.126.214.29" added to group "tag_Mumbai_GW_A_172_31_31_153_gateway"
   41.080 INFO     Host "34.225.52.141" added to group "tag_Name_AviatrixController"
   41.086 INFO     Host "52.56.209.184" added to group "tag_Name_aviatrix_London_GW_172_31_5_171"
   41.093 INFO     Host "35.177.84.250" added to group "tag_Name_aviatrix_London_GW_A_172_31_31_153"
   41.099 INFO     Host "35.176.36.6" added to group "tag_Name_aviatrix_London_GW_hagw_172_31_5_171"
