   22.025 INFO     Host "54.89.83.56" already in group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171"
   22.030 INFO     Host "54.91.231.196" already in group "tag_Name_Cvlt_mediaserver"
   22.037 INFO     Host "54.83.140.39" added to group "tag_Name_sdx_wrp_10"
   22.042 INFO     Host "34.224.245.31" already in group "tag_N_Virgina_GW_A_172_31_31_153_gateway"
   22.047 INFO     Host "34.193.109.28" already in group "tag_nvirginia_1_172_31_5_171_gateway"
   22.051 INFO     Host "54.89.83.56" already in group "tag_nvirginia_1_hagw_172_31_5_171_gateway"
   22.056 INFO     Host "34.225.52.141" already in group "tag_Project_Aviatrix"
   22.061 INFO     Host "54.91.231.196" already in group "type_m3_2xlarge"
   22.070 INFO     Host "54.83.140.39" added to group "type_m3_medium"
   22.074 INFO     Host "34.225.52.141" already in group "type_t2_large"
   22.081 INFO     Host "34.193.109.28" already in group "type_t2_micro"
   22.081 INFO     Host "34.224.245.31" already in group "type_t2_micro"
   22.081 INFO     Host "54.89.83.56" already in group "type_t2_micro"
   22.086 INFO     Host "34.193.109.28" already in group "us-east-1"
   22.086 INFO     Host "34.224.245.31" already in group "us-east-1"
   22.086 INFO     Host "34.225.52.141" already in group "us-east-1"
   22.087 INFO     Host "54.89.83.56" already in group "us-east-1"
   22.087 INFO     Host "54.91.231.196" already in group "us-east-1"
   22.091 INFO     Host "54.83.140.39" added to group "us-east-1"
   22.096 INFO     Host "34.193.109.28" already in group "us-east-1a"
   22.097 INFO     Host "54.89.83.56" already in group "us-east-1a"
   22.097 INFO     Host "54.91.231.196" already in group "us-east-1a"
   22.102 INFO     Host "34.224.245.31" already in group "us-east-1b"
   22.106 INFO     Host "34.225.52.141" already in group "us-east-1c"
   22.109 INFO     Host "54.83.140.39" added to group "us-east-1c"
   22.113 INFO     Host "34.193.109.28" already in group "vpc_id_vpc_0b10e36f"
   22.113 INFO     Host "34.225.52.141" already in group "vpc_id_vpc_0b10e36f"
   22.113 INFO     Host "54.89.83.56" already in group "vpc_id_vpc_0b10e36f"
   22.113 INFO     Host "54.91.231.196" already in group "vpc_id_vpc_0b10e36f"
   22.115 INFO     Host "54.83.140.39" added to group "vpc_id_vpc_0b10e36f"
   22.120 INFO     Host "34.224.245.31" already in group "vpc_id_vpc_e6c7279d"
   22.328 INFO     Inventory import completed for group "EC2" in 21.0s
